,name,lat,lng,address,genre,zipcode
223,American Airlines Midtown Manhattan Travel Center,40.750404357910156,-73.97698211669922,360 Lexington Ave,Travel Agencies,10016
224,247 Get Travel,40.74898985,-73.98481567,1 West 34th Street,Travel Agencies,10016
225,Travel Document Systems,40.7515507,-73.97892209999998,100 Park Ave Ste 1646,General Travel,10016
226,Borello Travel & Tours,40.747005,-73.980519,7 Park Ave Apt 21,General Travel,10016
227,Valerie Wilson Travel,40.74556734004168,-73.98255815016036,605 3rd Ave,Travel Agencies,10016
228,Travel Visa Pro,40.74693298339844,-73.9833755493164,167 Madison Ave,General Travel,10016
229,"Travel Planners, Inc.",40.742349,-73.9842,381 Park Ave S,Offices,10016
230,Help U Travel,40.747946999999996,-73.98450600000001,347 5th Ave Rm 1212A,Offices,10016
231,Fischer Travel Enterprises,40.75026,-73.974405,655 3rd Avenue,Offices,10016
232,world travel,40.74083709716797,-73.98348999023438,61 Lexington Ave,Tourist Information Centers,10016
233,Asahi Travel Group,40.74922698811379,-73.9837484434247,545 5th Ave,Tour Providers,10016
234,Puerto Rico @ Travel + Leisure Global Bazaar,40.741407797590284,-73.98425119467512,Lexington Armory,Tourist Information Centers,10016
235,BCD Travel/Omnicom,40.7498809,-73.9729626,220 E. 42nd St.,Professional & Other Places,10016
236,Classic Travel,40.75110837183047,-73.97962541741396,260 Madison Avenue,Travel Agencies,10016
237,Michele Travels,40.749759674072266,-73.9869613647461,45 W 34th St,General Travel,10016
238,Travel Associates,40.751076,-73.980198,269 Madison Ave,General Travel,10016
239,IACE Travel,40.751172,-73.98029,271 Madison Ave Ste 908,Travel Agencies,10016
240,Travel Clinic NYC,40.751318,-73.980313,274 Madison Ave,Doctor's Offices,10016
241,Delgado Travel,40.750979,-73.981524,14 E 39th St,General Travel,10016
242,Women of Assurance Faith Based Cruise and Travel Unlimited,40.74587516706305,-73.9865255355835,244 5th Ave Ste C243,General Travel,10016
243,Ovation Travel & Amex Gbt,40.751102,-73.974464,666 3rd Ave,Offices,10016
244,Skylark Travel Group,40.751232,-73.97451,666 3rd Ave Fl 4,Offices,10016
245,Downtown Travel,40.749406,-73.984737,3 W 35th St,General Travel,10016
246,Travel Clinic Of New York City,40.75162937510417,-73.9803313434754,274 Madison Ave,Alternative Healers,10016
247,Chubit Travel,40.745846,-73.986938,26 Broadway Fl 8,General Travel,10016
248,NESTER TRAVEL INC,40.74243485872075,-73.98650407791138,41 Madison Ave Fl 31,Taxis,10016
249,IACE Travel,40.752195,-73.980489,18 E 41st St Fl 3,General Travel,10016
250,Ensemble Travel Group HQ,40.75048236883272,-73.98484232195737,29 W 36th St,NA,10016
251,Picasso Travel,40.75125254006028,-73.984957103743,989 6thAve,Travel Agencies,10016
252,Travel Universally,40.751041412353516,-73.9856185913086,48 W 37th St,General Travel,10016
253,Delgado Travel,40.751902,-73.98442299999999,35 W 38th St,Transportation Services,10016
254,Quintessentially,40.749916,-73.97683,353 Lexington Ave,Travel Agencies,10016
255,Pegasus,40.750758000000005,-73.976996,370 Lexington Ave Rm 1601,Business Services,10016
256,"The Travelers Companies, Inc.",40.74828266796181,-73.97607279082175,485 Lexington Ave,Coworking Spaces,10016
257,Complete Traveller Antiquarian Bookstore,40.748024,-73.98236700000001,199 Madison Ave,Bookstores,10016
258,Passport Health NYC,40.75183922729821,-73.98635961285754,1001 Avenue of the Americas Ste 1215,Medical Centers,10016
259,Complete Traveler Rare Books,40.74846993276079,-73.98252945436204,199 Madison Ave,Bookstores,10016
260,NYC Ferry - Time Traveler (HB 123),40.743496,-73.969547,NA,Boats or Ferries,10016
261,Elite Traveler Magazine,40.75046631548314,-73.97186460797094,801 2nd Ave,Offices,10016
262,Alterations NYC Traveling Tailors,40.751323,-73.97313,211 E 43rd St Fl 7,Tailor Shops,10016
263,Country Tour & Travels,40.747809673061624,-73.98710489273071,39 W 32nd St,Travel Agencies,10016
264,Elite Traveler Magazine,40.75208120013346,-73.97396643680298,708 3rd Ave,Offices,10016
265,Traveluniversally,40.751041412353516,-73.9856185913086,48 W 37th St,Travel Agencies,10016
266,VaccationTravel,40.75204849243164,-73.96898651123047,333 E 46th St Apt 1D,Travel Agencies,10016
267,Maram Tours & Travel,40.753984,-73.971375,757 3rd Ave Fl 2031 # 20,Travel Agencies,10017
268,American Airlines Midtown Manhattan Travel Center,40.750404357910156,-73.97698211669922,360 Lexington Ave,Travel Agencies,10017
269,Travel Document Systems,40.7515507,-73.97892209999998,100 Park Ave Ste 1646,General Travel,10017
270,Ultramar Travel mgmt.,40.7563927591207,-73.97752684369019,14 E 47th St,General Travel,10017
271,Last Moment Travel Club,40.75669479370117,-73.98006439208984,21 W 46th St,Tourist Information Centers,10017
272,Paradissa Travel,40.752322,-73.973316,120 Yen PHu,Travel Agencies,10017
273,Luxury Travel by Wanda LLC,40.7524458,-73.97370529999999,708 3rd Avenue,General Travel,10017
274,Kingdom Travel And Tours Corporation,40.7538778,-73.9728313,750 3rd Ave Fl 9,Travel Agencies,10017
275,Travel Source Plus,40.75381851196289,-73.9741439819336,475 Lexington Ave,Miscellaneous Shops,10017
276,Skylark Travel Group,40.751232,-73.97451,666 3rd Ave Fl 4,Offices,10017
277,Travel Agent Magazine,40.754109,-73.971831,757 3rd Ave Fl 5,Buildings,10017
278,Ovation Travel & Amex Gbt,40.751102,-73.974464,666 3rd Ave,Offices,10017
279,Pisa Brothers Travel,40.752697999999995,-73.975851,NA,NA,10017
280,Fischer Travel Enterprises,40.75026,-73.974405,655 3rd Avenue,Offices,10017
281,BCD Travel/Omnicom,40.7498809,-73.9729626,220 E. 42nd St.,Professional & Other Places,10017
282,Journey Corp. Travel Agency,40.755324,-73.97847,NA,General Travel,10017
283,Classic Travel,40.75110837183047,-73.97962541741396,260 Madison Avenue,Travel Agencies,10017
284,Kristal Travel,40.755028,-73.979159,545 5th Ave Ste 833,Travel Agencies,10017
285,Cruise Planners - American Express Travel / Irina Porter,40.75481569016998,-73.9798092842102,521 5th Ave,General Travel,10017
286,Travel Clinic Of New York City,40.75162937510417,-73.9803313434754,274 Madison Ave,Alternative Healers,10017
287,Travel Associates,40.751076,-73.980198,269 Madison Ave,General Travel,10017
288,Travel Clinic NYC,40.751318,-73.980313,274 Madison Ave,Doctor's Offices,10017
289,IACE Travel,40.752195,-73.980489,18 E 41st St Fl 3,General Travel,10017
290,IACE Travel,40.751172,-73.98029,271 Madison Ave Ste 908,Travel Agencies,10017
291,Delgado Travel,40.750979,-73.981524,14 E 39th St,General Travel,10017
292,Schwartz Travel Services,40.75647735595703,-73.98076629638672,34 W 46th St,General Travel,10017
293,BACC Travel,40.75675765038558,-73.98051499861116,16 W 46th St,General Travel,10017
294,Casa do Brasil Travel Agency,40.7561033763152,-73.98111187659049,4W 43 St. Suite 320,General Travel,10017
295,BCD Travel,40.756347999999996,-73.98113000000001,45 W 45th St,Offices,10017
296,Pegasus,40.750758000000005,-73.976996,370 Lexington Ave Rm 1601,Business Services,10017
297,Quintessentially,40.749916,-73.97683,353 Lexington Ave,Travel Agencies,10017
298,Elite Traveler Magazine,40.75208120013346,-73.97396643680298,708 3rd Ave,Offices,10017
299,Alterations NYC Traveling Tailors,40.751323,-73.97313,211 E 43rd St Fl 7,Tailor Shops,10017
300,Journeycorp,40.7523741935634,-73.9802108196972,18 E 41st St Fl 13,Travel Agencies,10017
301,Elite Traveler Magazine,40.75046631548314,-73.97186460797094,801 2nd Ave,Offices,10017
302,VaccationTravel,40.75204849243164,-73.96898651123047,333 E 46th St Apt 1D,Travel Agencies,10017
303,Travelers,40.755877250507474,-73.97588913144348,NA,Buildings,10017
304,"The Travelers Companies, Inc.",40.74828266796181,-73.97607279082175,485 Lexington Ave,Coworking Spaces,10017
305,"TravelClick, Inc.",40.75697041652049,-73.98099566662597,55 W 46th St Fl 27,Business Services,10017
306,The Travel Inn,40.7601242,-73.9961543,515 W 42nd St,Hotels,10018
307,Budget Travel,40.75422375287519,-73.98849346265581,499 Fashion Ave Fl 18,Offices,10018
308,"Travel, Tours and Fares",40.75995403611524,-73.98773480203505,4W 43 St.  Suite 320,General Travel,10018
309,Tzell Travel Group,40.7541834,-73.9860791,​119 W 40th​ St,Travel Agencies,10018
310,CIRE Travel,40.7620791,-73.98460990000001,1633 Broadway Fl 35,Travel Agencies,10018
311,BlueOrange Travel - NYC Travel Agency,40.7620853,-73.9846163,1633 Broadway Fl 35,Travel Agencies,10018
312,NYSKY Travel,40.754913216520784,-73.99401426315308,357 W 37th St,Travel Agencies,10018
313,HotelsPro Travel Wholesaler,40.755314,-73.993501,330 W 38th St,Offices,10018
314,Travel Auto Bag,40.75782,-73.99333,264 W 40th St,NA,10018
315,RMP Travel,40.7545855,-73.99193860000003,555 8th Ave,Business Services,10018
316,IACE Travel,40.753999,-73.992402,535 8th Ave Fl 8,Travel Agencies,10018
317,New World Travel,40.75831029512206,-73.99622440338135,1040 Avenue of American,Tourist Information Centers,10018
318,Intergalactic Travel Bureau,40.753868103027344,-73.99181365966797,266 W 37th St,Performing Arts Venues,10018
319,Vip Travel Club,40.75803226004038,-73.9997737385329,NA,General Travel,10018
320,Signature Travel Network,40.751976237284666,-73.99213082916484,"1 Penn Plz, Fl 24",General Travel,10018
321,Highlight Travel,40.751865,-73.991707,225 W 34th St,Travel Agencies,10018
322,Travel Inn Luxery Swimming Pool,40.760482,-73.996033,NA,Pools,10018
323,"Envision Travel Group, Inc.",40.7512148,-73.9922255,"1 Pennsylvania Plaza, Suite 3600",Travel Agencies,10018
324,Business World Travel,40.75351532515499,-73.98873567581177,262 W 38th St Rm 1001,Travel Agencies,10018
325,Chanteclair Travel,40.75197110866619,-73.98903608322144,152 W 36th St Rm 805,General Travel,10018
326,Travel Agency,40.750594,-73.998808,224 W 30th St,NA,10018
327,Imperial Travel,40.74993919022358,-73.99253368377686,NA,Moving Targets,10018
328,USA Royalty Travel INC,40.7514486,-73.9891093,147 W 35th St #506,Travel Agencies,10018
329,GotoBus.com by Eastern Travel,40.75032,-73.990999,7 Avenue A,Bus Stops,10018
330,American Express Global Business Travel,40.75594082420385,-73.98663291000051,7 Times Sq,Offices,10018
331,Michele Travels,40.749759674072266,-73.9869613647461,45 W 34th St,General Travel,10018
332,Titan Travel - Travel Company New York | Travel Deals USA,40.75125503540039,-73.98861694335938,"131 West 35th St, 8th Fl, New York, NY 10001",Travel Agencies,10018
333,Travel Savvy,40.751095,-73.988803,147 W 35th St,Offices,10018
334,Travel Leaders Technology,40.753943,-73.98601,119 W 40th St,Buildings,10018
